node    Potential

     1 0.41311592909204
     2 0.41341797699853
     3 0.41381072740684
     4 0.41396841295966
     5 0.41381072740684
     6 0.41341797699853
     7 0.41311592909204
     8 0.41341797699853
     9 0.41381072740684
    10 0.41396841295966
    11 0.41381072740684
    12 0.41341797699853
    13 0.41311592909204
    14 0.41341797699853
    15 0.41381072740684
    16 0.41396841295966
    17 0.41381072740684
    18 0.41341797699853
    19 0.41311592909204
    20 0.41341797699853
    21 0.41381072740684
    22 0.41396841295966
    23 0.41381072740684
    24 0.41341797699853
    25 0.73554441997167
    26 0.73574585307393
    27  0.736026400953
    28 0.7361969403425
    29 0.7361969403425
    30  0.736026400953
    31 0.73574585307393
    32 0.73554441997167
    33 0.73574585307393
    34  0.736026400953
    35 0.7361969403425
    36 0.7361969403425
    37  0.736026400953
    38 0.73574585307393
    39 0.73554441997167
    40 0.73574585307393
    41  0.736026400953
    42 0.7361969403425
    43 0.7361969403425
    44  0.736026400953
    45 0.73574585307393
    46 0.73554441997167
    47 0.73574585307393
    48  0.736026400953
    49 0.7361969403425
    50 0.7361969403425
    51  0.736026400953
    52 0.73574585307393
