TM resonant wavenumbers:  
     1 1.0246080650488               0
     2 1.1123812581293               0
     3 1.1123812581294               0
     4 1.3308141185726               0
     5 1.3310309775164               0
     6 1.6079893662642               0
     7 1.6079893662642               0
     8  1.901851304205               0
     9 1.9019115638934               0
    10 2.0872922087435               0
    11 2.1419857040573               0
    12 2.1419857040573               0
    13 2.1974116315464               0
    14 2.1974116315464               0
    15 2.2959693174518               0
    16 2.2981802858301               0
    17 2.4907163616246               0
    18 2.4912345672604               0
    19 2.5294391172607               0
    20 2.5294391172608               0
    21 2.7825476990202               0
    22 2.7825476990203               0
    23 2.8104762762688               0
    24 2.8117733541106               0
    25 3.0721501443217               0
    26 3.0735513055013               0
    27 3.1183177444178               0
    28 3.1183177444179               0
    29 3.1773590310488               0
    30 3.2193568151896               0
    31 3.2193568151896               0
    32 3.3371878435566               0
    33 3.3446148208279               0
    34 3.3626761808578               0
    35 3.3626761808578               0
    36 3.4355910102837               0
    37 3.4358556875262               0
    38 3.5303642853226               0
    39 3.5303642853226               0
    40 3.6512426228145               0
    41 3.6542843721196               0
    42  3.754883693326               0
    43  3.754883693326               0
    44  3.769455998266               0
    45 3.7721704037301               0
    46 3.9438570042189               0
    47  3.943857004219               0
    48 4.0481139758142               0
    49 4.0481139758142               0
    50 4.0722167881825               0
    51 4.0754784469307               0
    52 4.2147699295958               0
    53 4.2340031128056               0
    54 4.2397349794128               0
    55 4.2498282412943               0
    56 4.2498282412943               0
    57  4.345074350263               0
    58  4.347284703644               0
    59  4.361248237648               0
    60 4.3693912549602               0
    61 4.3937277640753               0
    62 4.3937277640753               0
    63  4.531705466259               0
    64  4.531705466259               0
    65 4.5352995596922               0
    66 4.5352995596922               0
    67 4.6915423972717               0
    68 4.6915423972717               0
    69 4.7123794180035               0
    70 4.7214929595009               0
    71 4.7718916180993               0
    72 4.7995960202897               0
    73 4.8273823035984               0
    74 4.8368641266503               0
    75 5.0446541088128               0
    76 5.0446541088128               0
    77 5.0479146392617               0
    78 5.0544496414673               0
    79 5.0962860741853               0
    80 5.0962860741853               0
    81 5.1367397562997               0
    82 5.1367397562997               0
    83 5.3663910827851               0
    84 5.3879765261921               0
    85 5.4128723298384               0
    86 5.4302943900394               0
    87 5.4302943900394               0
    88 5.4439829897512               0
    89 5.4557524769996               0
    90 5.4744678938826               0
    91 5.7078540413236               0
    92 5.7078540413236               0
    93 5.7762644570086               0
    94 5.7762644570086               0
    95 5.7926833156711               0
    96 5.7926833156711               0
    97 5.8150434221214               0
    98 5.8172571396198               0
    99 5.8535939345753               0
   100 5.8985858842453               0
   101 5.8985858842453               0
   102 5.9726191568283               0
   103 5.9727456069835               0
   104 6.0114767756301               0
   105  6.057274643645               0
   106 6.0956444262939               0
   107 6.0956444262939               0
   108 6.1058783839838               0
   109 6.1196876181186               0
   110 6.1304549225173               0
   111 6.2002616186856               0
   112 6.2186177862235               0
   113 6.2186177862235               0
   114 6.2962741785808               0
   115 6.3036521936761               0
   116 6.3403602347236               0
   117 6.3403602347236               0
   118 6.4617361353271               0
   119 6.4617361353271               0
   120 6.4883322312399               0
   121 6.4883322312399               0
   122 6.4974324635446               0
   123 6.5957552515564               0
   124 6.5957552515565               0
   125 6.6199891455963               0
   126 6.6360689894465               0
   127 6.7230597404322               0
   128 6.7862296201446               0
   129 6.8391041041134               0
   130 6.8484242403197               0
   131   6.93382162674               0
   132 6.9699701580653               0
   133 6.9709583061477               0
   134 6.9709583061477               0
   135 7.0280160165594               0
   136 7.1016536241184               0
   137 7.1016536241184               0
   138 7.1453257964039               0
   139 7.1453257964039               0
   140 7.2826335023413               0
   141 7.2826335023414               0
   142 7.2920818225281               0
   143 7.3361735384332               0
   144 7.3361735384332               0
   145 7.3690755375357               0
   146  7.393638158535               0
   147 7.3988622221278               0
   148 7.4942538222336               0
   149 7.5558213538821               0
   150 7.5781508373521               0
   151 7.5781508373521               0
   152  7.609284046411               0
   153 7.6558044638427               0
   154 7.6590991883579               0
   155 7.6917910586979               0
   156 7.6961868522997               0
   157 7.6961868522997               0
   158 7.7150137341741               0
   159 7.7712228227811               0
   160 7.8008566832299               0
   161 7.8008566832299               0
   162 7.8588159363482               0
   163 7.8618049800172               0
   164 7.8618049800172               0
   165 7.9088854605721               0
   166 7.9088854605721               0
   167 7.9572561124233               0
   168 7.9903306601875               0
   169 8.0188407596519               0
   170 8.1167211783597               0
   171 8.1335970626935               0
   172 8.1335970626935               0
   173 8.1401457821874               0
   174  8.175126422741               0
   175  8.175126422741               0
   176 8.1971371455342               0
   177   8.22614730709               0
   178 8.2261473070901               0
   179 8.2634437746874               0
   180 8.3971778627197               0
   181 8.4838752212283               0
   182 8.4838752212283               0
   183 8.5040452285575               0
   184 8.5228956259524               0
   185 8.5798125547654               0
   186 8.5798125547654               0
