TM resonant wavenumbers:  
     1  1.057526066965               0
     2 1.1500232522284               0
     3 1.1500232522284               0
     4 1.3771089954088               0
     5  1.387664929379               0
     6  1.682928411026               0
     7  1.682928411026               0
     8 2.0044026575587               0
     9  2.018795314816               0
    10 2.3115719287124               0
    11 2.3448849261424               0
    12 2.3448849261425               0
    13 2.3896129679574               0
    14 2.3896129679574               0
    15 2.5539352227662               0
    16 2.5831915781547               0
    17 2.7100344541246               0
    18 2.7210380002902               0
    19 2.8615487722367               0
    20 2.8615487722367               0
    21 3.0816364363279               0
    22 3.0816364363279               0
    23 3.1991974663444               0
    24 3.2354464122746               0
    25 3.4545757554533               0
    26 3.4698735679185               0
    27 3.6049040459145               0
    28 3.6049040459145               0
    29 3.7783658864437               0
    30 3.8424688889461               0
    31 3.8424688889461               0
    32 3.8587398884496               0
    33 3.8587398884496               0
    34 3.9187217896213               0
    35 3.9919779815083               0
    36 4.0856881365499               0
    37 4.0875065630591               0
    38 4.2635146831313               0
    39 4.2635146831313               0
    40 4.2637462197657               0
    41 4.2804633670883               0
    42 4.4964432939113               0
    43 4.4964432939113               0
    44 4.6180072841855               0
    45  4.677687351044               0
    46 4.7066017411244               0
    47 4.7066017411244               0
    48 4.9225076164064               0
    49 4.9480538878728               0
    50 5.1072770137743               0
    51 5.1072770137743               0
    52 5.1553225557939               0
    53 5.1734350550982               0
    54 5.3813746422718               0
    55 5.3813746422718               0
    56 5.5633702676337               0
    57 5.6428727315181               0
    58 5.6458499705974               0
    59 5.6458499705974               0
    60 5.8282970525772               0
    61  5.852607064283               0
    62 6.0744467768601               0
    63 6.0744467768601               0
    64 6.1400615630555               0
    65 6.1610616634725               0
    66 6.3278038766618               0
    67 6.3278038766618               0
    68  6.446015015814               0
    69 6.5166584150462               0
    70 6.6811192284675               0
    71 6.6811192284675               0
    72 6.8066500365279               0
    73 6.8228615325724               0
    74 6.8228615325724               0
    75 6.8493683161852               0
    76 7.0783811093117               0
    77 7.0834657171104               0
    78 7.2137968446427               0
    79 7.2137968446427               0
    80 7.2219139135008               0
    81 7.2627281024029               0
    82 7.3290492087996               0
    83 7.3447839993025               0
    84 7.3447839993025               0
    85  7.720806148432               0
    86 7.7213576519729               0
    87 7.8324032870622               0
    88 7.8324032870622               0
    89 8.0615436903128               0
    90 8.0615436903128               0
    91  8.273677745419               0
    92 8.3270234358589               0
    93 8.3769724594202               0
    94 8.4710776558701               0
    95 8.4915969736414               0
    96 8.4915969736414               0
    97 8.6582631588104               0
    98 9.0461777105838               0
    99 9.0461777105838               0
   100 9.5418207830672               0
   101 9.5489735584773               0
   102 9.9678186068168               0
   103 9.9678186068168               0
   104 10.262698376709               0
   105  10.31335039356               0
   106 10.487357230954               0
   107 10.487357230954               0
   108 10.554060911262               0
